moving_fixed,dice,ASD,HD,SSIM,folds_percent,SDLogJ,MSE
OASIS-TRT-20-10_MMRR-3T7T-2-1,0.483725,1.972889,22.00873,0.782901,2.524821,3.313966,0.023522
OASIS-TRT-20-10_HLN-12-4,0.483725,30.921995,68.217595,0.805378,2.778035,3.469684,0.016726
OASIS-TRT-20-20_HLN-12-12,0.188814,29.487961,66.977561,0.828091,2.854106,3.51421,0.012009
OASIS-TRT-20-20_HLN-12-6,0.190816,29.275085,67.099179,0.827574,3.076436,3.641554,0.011808
NKI-TRT-20-18_OASIS-TRT-20-17,0.633267,0.867083,14.245384,0.883022,1.452515,2.533133,0.009317
NKI-TRT-20-18_NKI-RS-22-18,0.620493,0.85786,29.829708,0.905869,1.452983,2.533907,0.003695
NKI-RS-22-22_OASIS-TRT-20-4,0.644367,0.897084,14.721065,0.904433,1.629354,2.678185,0.00461
NKI-RS-22-22_NKI-RS-22-1,0.637712,0.902946,14.297973,0.915431,1.381226,2.473301,0.003275
MMRR-21-21_NKI-TRT-20-10,0.168861,29.793623,66.723829,0.850187,2.753845,3.451315,0.008229
MMRR-21-21_MMRR-21-9,0.17968,29.575491,67.847406,0.838204,2.051636,2.997485,0.009866
MMRR-21-13_HLN-12-4,0.170326,30.99288,69.099806,0.837006,2.607096,3.366832,0.006104
MMRR-21-13_NKI-TRT-20-20,0.554534,0.784067,13.654675,0.901146,1.614421,2.668575,0.006045
NKI-RS-22-7_MMRR-21-12,0.609393,1.104334,14.508282,0.882346,1.793416,2.80666,0.006648
NKI-RS-22-7_MMRR-21-11,0.604483,1.111341,17.537024,0.88185,1.921977,2.902284,0.006295
NKI-TRT-20-13_NKI-TRT-20-12,0.613373,0.994084,15.828881,0.905212,1.561096,2.62403,0.003459
NKI-TRT-20-13_OASIS-TRT-20-9,0.60806,1.054128,15.079005,0.869763,1.482198,2.557877,0.012753
NKI-TRT-20-5_HLN-12-7,0.207647,13.377682,54.448647,0.804673,2.918742,3.551549,0.013564
NKI-TRT-20-5_NKI-TRT-20-2,0.625785,0.890644,14.117414,0.902396,1.294881,2.396173,0.005637
Colin27-1_NKI-RS-22-3,0.508931,0.951473,12.227443,0.141613,0.293132,1.199322,0.274151
Colin27-1_HLN-12-8,0.122464,29.372149,68.030841,0.102372,0.277852,1.165641,0.298949
NKI-TRT-20-11_NKI-TRT-20-10,0.631303,1.019895,18.608666,0.909215,1.502319,2.576209,0.003606
NKI-TRT-20-11_NKI-TRT-20-14,0.628315,0.918746,15.26368,0.906562,1.584534,2.643628,0.003769
NKI-RS-22-14_NKI-RS-22-18,0.605026,0.935921,30.201109,0.903353,1.664225,2.705656,0.004546
NKI-RS-22-14_OASIS-TRT-20-3,0.639312,0.918306,13.203175,0.894281,1.608765,2.661953,0.006247
NKI-RS-22-13_NKI-TRT-20-7,0.623118,0.893915,15.676926,0.902301,1.884399,2.87208,0.003943
NKI-RS-22-13_NKI-TRT-20-16,0.609851,0.907794,13.326607,0.904474,1.752563,2.773463,0.00505
HLN-12-11_NKI-RS-22-7,0.159602,28.799487,65.125309,0.842897,2.155904,3.070956,0.007833
HLN-12-11_MMRR-21-9,0.178474,28.966966,64.853568,0.834482,1.73291,2.765162,0.01023
MMRR-21-10_MMRR-21-15,0.632077,0.835382,12.132848,0.913346,1.403809,2.493322,0.002523
MMRR-21-10_OASIS-TRT-20-19,0.623648,0.912337,13.970766,0.901099,1.7276,2.756327,0.0054
MMRR-21-12_MMRR-21-7,0.608379,0.942424,13.672661,0.916192,1.580302,2.640384,0.002782
MMRR-21-12_NKI-TRT-20-13,0.56571,1.0745,16.749799,0.895854,1.997111,2.955996,0.005919
NKI-RS-22-12_HLN-12-5,0.195923,29.358597,66.697488,0.83528,2.540202,3.322165,0.00861
