moving_fixed,dice
OASIS-TRT-20-10_MMRR-3T7T-2-1,0.315333
OASIS-TRT-20-10_HLN-12-4,0.112025
OASIS-TRT-20-10_NKI-TRT-20-18,0.442032
OASIS-TRT-20-10_NKI-RS-22-9,0.461112
OASIS-TRT-20-10_NKI-RS-22-4,0.412637
OASIS-TRT-20-10_NKI-RS-22-17,0.448736
OASIS-TRT-20-10_NKI-RS-22-12,0.423074
OASIS-TRT-20-10_NKI-TRT-20-7,0.444351
OASIS-TRT-20-10_NKI-TRT-20-15,0.477052
OASIS-TRT-20-10_Twins-2-2,0.438095
OASIS-TRT-20-10_NKI-RS-22-11,0.461743
OASIS-TRT-20-10_OASIS-TRT-20-12,0.430136
OASIS-TRT-20-10_MMRR-21-17,0.396099
OASIS-TRT-20-10_HLN-12-11,0.111529
OASIS-TRT-20-10_NKI-TRT-20-13,0.453530
OASIS-TRT-20-10_MMRR-21-6,0.411824
OASIS-TRT-20-10_MMRR-21-9,0.430740
OASIS-TRT-20-10_NKI-RS-22-21,0.450530
OASIS-TRT-20-10_OASIS-TRT-20-1,0.438148
OASIS-TRT-20-10_NKI-TRT-20-5,0.419805
OASIS-TRT-20-10_Twins-2-1,0.423178
OASIS-TRT-20-10_MMRR-21-16,0.425653
OASIS-TRT-20-10_NKI-RS-22-22,0.430569
OASIS-TRT-20-10_NKI-TRT-20-12,0.447167
OASIS-TRT-20-10_MMRR-21-15,0.439809
OASIS-TRT-20-10_NKI-TRT-20-8,0.421397
OASIS-TRT-20-10_NKI-RS-22-7,0.419831
OASIS-TRT-20-10_MMRR-21-20,0.429979
OASIS-TRT-20-10_NKI-RS-22-5,0.422600
OASIS-TRT-20-10_NKI-TRT-20-10,0.404840
OASIS-TRT-20-10_OASIS-TRT-20-17,0.406531
OASIS-TRT-20-10_OASIS-TRT-20-5,0.406208
OASIS-TRT-20-10_NKI-RS-22-2,0.437383
OASIS-TRT-20-10_NKI-RS-22-19,0.423865
OASIS-TRT-20-10_OASIS-TRT-20-11,0.442101
OASIS-TRT-20-10_MMRR-21-18,0.409849
OASIS-TRT-20-10_HLN-12-12,0.119557
OASIS-TRT-20-10_HLN-12-8,0.110598
OASIS-TRT-20-10_OASIS-TRT-20-13,0.408180
OASIS-TRT-20-10_HLN-12-9,0.114731
OASIS-TRT-20-10_OASIS-TRT-20-20,0.398102
OASIS-TRT-20-10_MMRR-3T7T-2-2,0.400509
OASIS-TRT-20-10_OASIS-TRT-20-9,0.426664
OASIS-TRT-20-10_NKI-RS-22-20,0.450804
OASIS-TRT-20-10_MMRR-21-21,0.107884
OASIS-TRT-20-10_MMRR-21-12,0.407471
OASIS-TRT-20-10_NKI-RS-22-10,0.437993
OASIS-TRT-20-10_MMRR-21-4,0.444736
OASIS-TRT-20-10_OASIS-TRT-20-2,0.409139
OASIS-TRT-20-10_MMRR-21-13,0.403180
OASIS-TRT-20-10_MMRR-21-19,0.434936
OASIS-TRT-20-10_NKI-TRT-20-2,0.410410
OASIS-TRT-20-10_OASIS-TRT-20-10,1.000000
OASIS-TRT-20-10_OASIS-TRT-20-15,0.436782
OASIS-TRT-20-10_NKI-RS-22-3,0.420118
OASIS-TRT-20-10_NKI-RS-22-1,0.447457
OASIS-TRT-20-10_NKI-RS-22-14,0.414386
OASIS-TRT-20-10_MMRR-21-7,0.411973
OASIS-TRT-20-10_MMRR-21-3,0.429536
OASIS-TRT-20-10_NKI-RS-22-18,0.442041
OASIS-TRT-20-10_NKI-TRT-20-11,0.421661
OASIS-TRT-20-10_NKI-TRT-20-16,0.431037
OASIS-TRT-20-10_NKI-TRT-20-17,0.433057
OASIS-TRT-20-10_OASIS-TRT-20-19,0.434941
OASIS-TRT-20-10_HLN-12-1,0.118572
OASIS-TRT-20-10_MMRR-21-5,0.418588
OASIS-TRT-20-10_NKI-RS-22-8,0.437997
OASIS-TRT-20-10_NKI-TRT-20-20,0.441298
OASIS-TRT-20-10_MMRR-21-10,0.430579
OASIS-TRT-20-10_HLN-12-3,0.436749
OASIS-TRT-20-10_OASIS-TRT-20-3,0.418644
OASIS-TRT-20-10_HLN-12-6,0.117418
OASIS-TRT-20-10_MMRR-21-2,0.421807
OASIS-TRT-20-10_MMRR-21-8,0.459480
OASIS-TRT-20-10_HLN-12-2,0.118559
OASIS-TRT-20-10_NKI-RS-22-16,0.111920
OASIS-TRT-20-10_NKI-TRT-20-1,0.441908
OASIS-TRT-20-10_HLN-12-10,0.114999
OASIS-TRT-20-10_NKI-TRT-20-4,0.449397
OASIS-TRT-20-10_NKI-RS-22-6,0.443443
OASIS-TRT-20-10_HLN-12-7,0.138836
OASIS-TRT-20-10_MMRR-21-1,0.117100
OASIS-TRT-20-10_NKI-RS-22-15,0.431923
OASIS-TRT-20-10_OASIS-TRT-20-6,0.438827
OASIS-TRT-20-10_MMRR-21-14,0.444169
OASIS-TRT-20-10_OASIS-TRT-20-8,0.436183
OASIS-TRT-20-10_OASIS-TRT-20-18,0.419414
OASIS-TRT-20-10_NKI-RS-22-13,0.443006
OASIS-TRT-20-10_NKI-TRT-20-9,0.434195
OASIS-TRT-20-10_NKI-TRT-20-6,0.433643
OASIS-TRT-20-10_OASIS-TRT-20-7,0.409308
OASIS-TRT-20-10_OASIS-TRT-20-16,0.441067
OASIS-TRT-20-10_OASIS-TRT-20-14,0.402976
OASIS-TRT-20-10_Afterthought-1,0.441980
OASIS-TRT-20-10_MMRR-21-11,0.407721
OASIS-TRT-20-10_Colin27-1,0.424871
OASIS-TRT-20-10_OASIS-TRT-20-4,0.423370
OASIS-TRT-20-10_NKI-TRT-20-14,0.416154
OASIS-TRT-20-10_HLN-12-5,0.111402
OASIS-TRT-20-10_NKI-TRT-20-3,0.431822
OASIS-TRT-20-20_HLN-12-12,0.117371
OASIS-TRT-20-20_HLN-12-6,0.121736
OASIS-TRT-20-20_HLN-12-5,0.117175
OASIS-TRT-20-20_MMRR-21-8,0.413727
OASIS-TRT-20-20_NKI-TRT-20-4,0.428772
OASIS-TRT-20-20_NKI-TRT-20-6,0.404969
OASIS-TRT-20-20_MMRR-21-13,0.380219
OASIS-TRT-20-20_MMRR-21-12,0.417104
OASIS-TRT-20-20_NKI-RS-22-13,0.385277
OASIS-TRT-20-20_NKI-RS-22-10,0.425667
OASIS-TRT-20-20_MMRR-3T7T-2-2,0.397170
OASIS-TRT-20-20_NKI-TRT-20-10,0.439316
OASIS-TRT-20-20_Colin27-1,0.403778
OASIS-TRT-20-20_MMRR-21-17,0.362912
OASIS-TRT-20-20_OASIS-TRT-20-5,0.423991
OASIS-TRT-20-20_NKI-TRT-20-13,0.403917
OASIS-TRT-20-20_OASIS-TRT-20-1,0.438880
OASIS-TRT-20-20_NKI-RS-22-7,0.420196
OASIS-TRT-20-20_MMRR-21-1,0.121694
OASIS-TRT-20-20_HLN-12-9,0.121229
OASIS-TRT-20-20_HLN-12-1,0.122097
OASIS-TRT-20-20_OASIS-TRT-20-20,1.000000
OASIS-TRT-20-20_MMRR-21-15,0.386849
OASIS-TRT-20-20_NKI-RS-22-3,0.435919
OASIS-TRT-20-20_OASIS-TRT-20-17,0.407870
OASIS-TRT-20-20_NKI-RS-22-18,0.408096
OASIS-TRT-20-20_HLN-12-7,0.134439
OASIS-TRT-20-20_MMRR-21-14,0.417858
OASIS-TRT-20-20_NKI-RS-22-17,0.413048
OASIS-TRT-20-20_NKI-TRT-20-19,0.444106
OASIS-TRT-20-20_NKI-RS-22-12,0.447223
OASIS-TRT-20-20_NKI-RS-22-9,0.432423
OASIS-TRT-20-20_NKI-TRT-20-20,0.414367
OASIS-TRT-20-20_MMRR-21-2,0.408674
OASIS-TRT-20-20_MMRR-21-9,0.420179
OASIS-TRT-20-20_OASIS-TRT-20-7,0.420545
OASIS-TRT-20-20_NKI-TRT-20-3,0.418886
OASIS-TRT-20-20_MMRR-21-21,0.112828
OASIS-TRT-20-20_MMRR-21-11,0.408762
OASIS-TRT-20-20_HLN-12-10,0.116958
